filename,label,split,path
apricot_blossom_0011.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0011.jpg
apricot_blossom_262.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_262.jpg
apricot_blossom_0147.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0147.jpg
apricot_blossom_0001.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0001.jpg
apricot_blossom_249.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_249.jpg
apricot_blossom_279.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_279.jpg
apricot_blossom_265.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_265.jpg
apricot_blossom_0099.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0099.jpg
apricot_blossom_236.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_236.jpg
apricot_blossom_0161.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0161.jpg
apricot_blossom_0042.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0042.jpg
apricot_blossom_0107.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0107.jpg
apricot_blossom_0290.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0290.jpg
apricot_blossom_0084.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0084.jpg
apricot_blossom_0120.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0120.jpg
apricot_blossom_206.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_206.jpg
apricot_blossom_0067.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0067.jpg
apricot_blossom_277.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_277.jpg
apricot_blossom_0150.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0150.jpg
apricot_blossom_0091.jpg,apricot_blossom,train,C:/TASK_123/MENTOR_TASK/PYTHON_COURSE/DEmo/demo_dataset_Chutien\dataset/images/train\apricot_blossom\apricot_blossom_0091.jpg
